,jobs/job_title,skills,job_description
8203,C++ Software Engineer,".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",zilliqa zilliqa project challenging mix different fields computer science including limited distributed systems networks system application security cryptography programming languages offers unique opportunity apply cutting edge research advances building system avenues real world applications instance looking hire c software engineer help us build blockchain platform meet high scaling security requirements applications digital advertising gaming payments role deliver code vision roadmap zilliqa monthly milestones conduct thorough tests zilliqa blockchain performance scalability reliability document designs development testing facilitate teamwork collaboration keep latest technologies blockchain space understand adopt work closely collaborators community partner enterprises
8209,Linux Test Architect,"Agile Methodologies,Electronics,Engineering,Java,Linux,Manual Testing,Matlab,Quality Assurance,Quality Center,Regression Testing,Requirements Analysis,SQL,System Testing",new company german mnc specialising electrical appliances products services looking linux test architect 12 month contract potential convert permanent position based singapore new role company rolling open source enterprise solution test architect required work closely house linux developers improve quality software develop test strategies test plans test cases test quality software identifying vulnerability existing potential bugs provide sound reports improvement proactively provide suggestions potential areas automation get return return dedication skillset receive invaluable opportunity part global project within well establish german mnc highly talented dynamic team addition receive attractive remuneration job training necessary need 're interested role click 'apply ' forward date copy cv call us job n't right looking new position please contact us confidential discussion career contact lim lim com sg ea reg number ea license number company registration
8211,SCRUM MASTER,".NET,Agile Methodologies,C#,C++,Cloud Computing,Integration,Java,JavaScript,Linux,Microsoft SQL Server,Project Management,Scrum,Software Design",taiger headquartered singapore taiger fast growing artificial intelligence ai company global footprint mission help organizations optimize operational efficiencies automating complex cognitive tasks market leader pioneer knowledge work automationtm solutions provide use natural language processing nlp computer vision techniques e g semantic analysis concept extraction multi language knowledge graphs object detection provide unparalleled accuracy information extraction industry leaders across financial services government sectors taiger recognized gartner cool vendor find us www taiger com www linkedin com company taiger scrum master building team passionate cutting edge ai technology potential taiger motivated growth opportunities responsibilities expanding scope also look forward part dynamic start environment contribution matters responsibilities facilitate work completion best practices ensure tasks assigned correct parties appropriate delivery timelines guiding team organisation use agile scrum practices values delight customers removing impediments guiding team remove impediments finding right personnel remove assisting internal external communication product owners project managers stakeholders improve transparency provide timely status updates diligently applying scrum principles practices theory supporting product owner grooming maintaining product backlog
8213,Application Consultant,"Business Analysis,Business Intelligence,Business Process,CRM,Databases,ERP,Integration,Java,JavaScript,Management,Microsoft SQL Server,Oracle,Program Management",understand business requirements develop software specification technical design documentation standards uml develop database design source code development scratch automated unit testing code reviews
8218,Application Developer (Customer Service Applications),".NET,Agile Methodologies,ASP.NET,C#,C++,CSS,Databases,HTML,Java,JavaScript,jQuery,Microsoft SQL Server,MySQL",successful candidate assigned assist various customer service agile squads required accelerate new product feature development candidate required perform following roles responsibilities initiate design development new applications design implement continuous integration continuous delivery pipelines design develop new features new existing applications provide technical input assist product owners refine user stories create maintain software documentation including detailed technical design low level design test scripts write automated unit feature regression test suites ensure code best practices security data protection reliability relevant ad hoc duties individual contributor role
8219,Director of ICT Systems and Infrastructure,"Business Analysis,Business Intelligence,Change Management,Cloud Computing,Data Center,Disaster Recovery,Information Technology,Integration,IT Management,IT Strategy,ITIL,Leadership,Management",mission provide strategic operational leadership use technology systems support college business improvement plans facilitate effective efficient use technology systems applications achieve college vision mission best practice post holder sit academic education board management member senior leadership team school duties responsibilities lead line manage ict department ensure effective service infrastructure support place technology across college lead line manage support staff teams member provide strategic operational input regard ict infrastructure systems member school contribute knowledge expertise strategic guidance regard ict infrastructure systems effectively manage relevant budgets regard software hardware ensure effective implementation ict strategies work close collaboration director educational technology innovation ensure ict systems networks aligned fully support educational technology innovation plans college leadership strategy provide strategic leadership planning deployment technology enhance business support services within college improve quality efficiency develop oversee implementation robust policies practices processes regard ict related areas cyber security use protection data co ordination supporting director educational technology innovation lead infrastructure ict systems required support integrated approach ict across three schools business support services college ensuring effective communication planning decision making develop maintain 5 year ict systems infrastructure strategic plan monitoring reporting key milestones indicators contribute advancement safeguarding e safety activities procedures support collaboration e safety lead responsible drafting managing monitoring ict systems infrastructure annual budget budget bids capital projects budget plans activities initiate participate planning development activities including college group wide ict committees trusted advisor college leadership team school information systems infrastructure building strong impactful professional relationships culture collaboration consensus professional development proactively support learning development ict teams ensure professional knowledge skills appropriate meet needs college keep date developments ict technology cyber security networks infrastructure ensure technical knowledge capability kept current technical project development lead knowledge expertise systems infrastructure related areas capital building projects ensure completion time within budget responsible back strategies procedures processes reporting applications systems infrastructure including cyber security protocols processes manage purchasing installations servicing equipment infrastructure third party vendors conduct infrastructure product testing advising stakeholders required responsibility management inventory audio visual assets within college take lead planning issues relating systems applications infrastructure obtaining buy stakeholders implementing monitoring preventative measures possible support ict teams providing technical skills guidance required ensure high level knowledge expertise maintained regard regulatory industry best practice standards legal requirements lead developing high performing culture regards work performance service delivery identify lead activities plans processes ensure technology used maximum potential supporting staff achieving individual department goals activities working effectively efficiently provide technology training opportunities business support staff departments school holidays induction duties commensurate post
8225,Software Developer (.Net developer),".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",responsible ensuring sla availability performance net application coding testing implementing solutions net environment work high level requirements detailed specifications prototype software deployment analyse technologies technical processes functions document findings identify areas improvement create specifications implement proven experience optimization troubleshooting principles methodologies issue resolution techniques
8227,Senior Product Designer,"Adobe Creative Suite,Concept Development,Creative Direction,Design Strategy,Experience Design,Graphic Design,Illustrator,Industrial Design,Information Architecture,Interaction Design,Mobile Applications,Photoshop,Product Design",taiger headquartered singapore taiger fast growing artificial intelligence ai company global footprint mission help organizations optimize operational efficiencies automating complex cognitive tasks market leader pioneer knowledge work automationtm solutions provide offer unparalleled accuracy information extraction industry leaders across financial services government sectors taiger recognized gartner cool vendor find us www taiger com www linkedin com company taiger senior product designer building team passionate cutting edge ai technology potential taiger motivated growth opportunities responsibilities expanding scope also look forward part dynamic start environment contribution matters responsibilities create intuitive elegant product design solutions solve complex consumer problems drive business results conduct user experience research collect synthesize qualitative quantitative research understand consumer needs opportunities pain points inform iterative design validate design decisions collaborate partner product managers designers developers throughout discover design development process create visual presentable articulate inform validate ideas clients stakeholders detailed design deliverables utilizing contributing taiger design language pattern library organise productive design brainstorming sessions making use knowledge latest tools principles practices product design prototyping development drive continuous improvement taiger product design language advocate high standards excellence providing delightful rewarding user experience proactively support team achieve
8238,Senior Project Manager  /  Project Manager,"Budgets,Business Analysis,Business Development,Business Strategy,Change Management,Construction,Contract Management,Integration,Leadership,Management,Microsoft Office,MS Project,Process Improvement",cross project manage medium high complexity system projects finance implement replace budgeting system implement new hrms campus solution peoplesoft upgrades projects peoplesoft change request able manage lead projects complex scope budget timeline requirements ability capture critical timelines interdependencies could pose risks projects ability work communicate well business teams able work business teams get business commit document requirements business process well execution commit including defined resources timelines ability take control meetings ensure time best used timeline adhered responsible planning defining scope projects ability sequence items critical interdependencies among different business teams driving team members update provide information challenges issues risks timeline details leading communication details around project status timeline milestones ability handle conflicts bring resolution order closely timeline budget possible create detailed work plan identifies sequences activities needed successfully complete project define scope project collaboration senior management review project schedule senior management staff affected project activities revise schedule required resolve objectives measures upon project evaluated completion lead planning implementation project facilitate definition project scope goals deliverables consistently monitor report progress risks project stakeholders implement lead project changes interventions achieve project outputs able mentor project managers across apps team build pm community standards best practices able handle prioritization delivery monthly build operational support activities demonstrates high curiosity understand end end process end goal ask questions provide recommendations roi etc
8240,Sap fico & Abap Consultant With Hana,"Business Development,Business Strategy,CRM,Customer Service,Event Management,Leadership,Management,Marketing,Marketing Strategy,Microsoft Office,Negotiation,New Business Development,Program Management",sap fico must s4 fico experience abap hana development consultant
8243,Optim Consultant,"Analysis,Business Analysis,Business Development,Business Strategy,Change Management,Entrepreneurship,Integration,Leadership,Management,Management Consulting,Marketing,Marketing Strategy,Program Management",1 least 2 5 years expert usage 2 must comfortable working agile environment 3 must able work independently minimal supervision 4 must good interpersonal skills 5 preferable banking experience
8254,Mobile Solution Architect,"Business Development,Business Strategy,CRM,Customer Service,Event Management,Leadership,Management,Marketing,Marketing Strategy,Microsoft Office,Negotiation,New Business Development,Program Management",desired competencies professional skills knowledge candidate developed solutions complex enterprise application using react js react native javascript es6 core java spring framework spring boot rest microservices api management registry like oracle database integration model like mq soap web service etc
8256,Product  Manager,"Business Development,Business Strategy,Competitive Analysis,Cross-functional Team Leadership,E-commerce,Leadership,Management,Marketing,Marketing Strategy,Mobile Devices,New Business Development,Product Development,Product Management",product management positions available across range tech families role unique characteristics role would like consider dependant availability skills personality fit would love opportunity discuss role product managers grab focus identifying consumer business problems intersection business design engineering product managers technical enough understand underlying products built keen eye design master communicator works bring teams together drive towards goal making product successful finally disciplined understand product management art science role open healthy dose creativity define vision product responsible strategy roadmap feature definition product leader forefront role would require strong collaboration across various team focal point stakeholders nearly functions
8279,Business Analyst,"Analysis,Business Analysis,Business Intelligence,Business Process,Business Process Improvement,Business Strategy,Change Management,Data Analysis,Leadership,Management,Management Consulting,Microsoft Office,Process Improvement",require business analyst automation experience especially client singapore requirement position business analyst type position initial 12 months contract extensions location road singapore positions 1 start date asap require experience skills bachelor degree computer science equivalent must minimum 5 7 years experience must minimum 3 5 years experience business analyst roles responsibilities experience worked process automation helped operational efficiency proactively communicate collaborate internal stakeholder analyze needs functional requirements define requirements using interviews document analysis requirements workshops business process descriptions use cases scenarios business analysis tasks workflow analysis collaborate teams subject matter experts establish technical vision analyze usability performance needs prepare test plan user requirements test cases perform testing certify implementation coordinate uat ensure anticipate training deployment plan change management escalate potential risks impacting scope timeline cost etc project manager stakeholders appropriate
8283,Backend Engineer (Engineering Team),"Agile Methodologies,Agile Testing,Defect Tracking,Manual Testing,Performance Testing,QTP,Quality Assurance,Quality Center,Regression Testing,Software Quality Assurance,SQL,System Integration Testing,System Testing",love building hr software better help value initiative innovative seek ownership work passion ambition love challenges look responsibilities sense humour love good possess good english written spoken communication skills responsibilities build web services web applications using primarily php laravel integrate ui created front end developers server side logic use best practices software design build reusable code libraries build secure fast scalable web applications design implementation database schemas
8285,Full Stack Developer,".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",description role full stack developer work closely product team expand improve capabilities software platform managing analyzing energy data scope work includes optimizing use aws tools resources iot systems designing scalable databases device management tools implementing front end features
8290,System Administrator,"Active Directory,Apache,Data Center,Disaster Recovery,DNS,Linux,Microsoft Exchange,MySQL,Network Administration,Networking,Operating Systems,Security,Servers",manage deploy configure hardware upgrades software updates security patches necessary items needed basis participate required compliance activities needed including data log collection statistical analysis proper reporting standards interface directly help desk support technicians resolve document hardware software troubleshooting tickets bug reports errors windows unix servers provide immediate direct customer support troubleshooting help end users email telephone personal communication perform daily system monitoring backup procedures ensure data security availability integrity required resources proper recording application logs reviews administer call hours technical support monthly scheduled outages emergency situations
8294,IT Operations Manager,"Active Directory,Business Analysis,CRM,ERP,IT Management,IT Service Management,ITIL,JavaScript,Leadership,Management,Microsoft SQL Server,Network Administration,Networking",istox asia first fully regulated exchange platform based blockchain technology licensed monetary authority singapore investments singapore exchange sgx temasek business innovating capital markets blockchain technology building next generation exchange platform facilitate connection users holders capital regulated transparent marketplace offerings seeking operations manager part team position report chief technology officer responsible creating world class end user experience istox platform including technology support systems monitoring incident management responsibilities develop policies procedures aligned regulatory requirements manage operate services ensure timely quality service delivery meet business service level agreements regulatory requirement ensure projects service level agreement contractual obligations met fulfilled delivered projects system risk properly mitigated overseeing daily operations accordance policies technology standards lead response unexpected system incidents accordance business continuity disaster recovery protocols lead required reporting follow ups mas
8296,Lead  /  Senior IT Consultant (Application – SAP MM),"Business Analysis,Business Intelligence,Business Process,Databases,Disaster Recovery,Enterprise Architecture,Integration,IT Management,IT Strategy,ITIL,Management,Microsoft SQL Server,Oracle",analyze design develop implement maintain procurement applications leveraging sap technology platform design configure modules enhance application functionality improve system efficiency develop maintain system integrations conduct feasibility studies recommend cost effective solutions meet user requirements manage projects deliver quality systems time within budget provide consultation users technical matters
8307,Software Engineer,".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",gather business requirements clients business analysts design develop solutions based requirements maintenance existing bi projects interact provide reporting project managers maintain high standard delivery quality innovate look new solutions components build pocs demonstrate new usage present senior audience elaborate project documentations design documents deployment guide
8315,Microsoft Navision Consultant,"Business Analysis,Business Intelligence,Business Process,CRM,Databases,ERP,Integration,Java,JavaScript,Management,Microsoft SQL Server,Oracle,Program Management",stone forest services arm stone forest group business solutions division singapore dynamic team specialises providing advisory implementation support services business applications erp crm business analytical tools infrastructure security solutions serving businesses ranging small start ups large enterprises staff exposure challenging projects assignments leading edge technologies innovative solutions come join dynamic team gain invaluable skills experiences play key role consulting technology service business sector
8316,SYSTEM ANALYST (OPEN SYSTEM - JAVA),"Agile Methodologies,Analysis,Business Analysis,Business Intelligence,Business Process,Databases,Integration,Java,Management,Microsoft SQL Server,Oracle,Process Improvement,Program Management",least 3 years web based enterprise application development experience using java technologies working experience object oriented analysis design java programming experience one following operating system windows win 2008 unix solaris 10 linux
8321,Software Developer,".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",overview want role working relevant cutting edge software technologies across enterprise infrastructures deployments software developer position opportunity architect manage various projects sharepoint office 365 tools customers responsibilities include 1 responsible design development windows based independent products mobile terminal related products 2 customize software modules according customer requirements 3 join internal project team develop new products ensuring transforming new projects concepts industrial trends concrete products 4 opportunity work directly global project team including us addition flexible career development compelling training opportunities well competitive salaries provided
8323,SOFTWARE Engineer (DOTNET),"Agile Methodologies,Algorithms,C,C++,Cloud Computing,Distributed Systems,Eclipse,Java,Java Enterprise Edition,JavaScript,Linux,Object Oriented Design,Python",basic qualifications bachelor 's degree major computer science related business field minimum 3 years software development experience including limited mature design coding testing debugging skills minimum 2 years web development experience c asp net minimum 2 years experience writing pl sql sql scripts must able write stored procedures triggers functions tables
8324,Middleware Engineer,"Agile Methodologies,C,C#,C++,CSS,Eclipse,Git,HTML,Java,JavaScript,jQuery,Linux,MySQL",middleware engineer work teams provide operation project support middleware administration provide operation project support middleware weblogic jboss apache jboss web server etc support service request middleware section operation support batch ftp dr exercise etc
8325,Senior Technical Lead - Hadoop Admin,".NET,Agile,Agile Methodologies,C#,Databases,Enterprise Architecture,Integration,Java,Microsoft SQL Server,Oracle,PL/SQL,Requirements Analysis,Scrum",responsible implementation ongoing administration hadoop infrastructure aligning systems engineering team propose deploy new hardware software environments required hadoop expand existing environments working data delivery teams setup new hadoop users job includes setting linux users setting principals testing hdfs hive pig mapreduce access new users cluster maintenance well creation removal nodes using tools like cloudera manager enterprise dell open manage tools performance tuning hadoop clusters hadoop mapreduce routines screen hadoop cluster job performances capacity planning monitor hadoop cluster connectivity security manage review hadoop log files file system management monitoring hdfs support maintenance diligently teaming infrastructure network database application business intelligence teams guarantee high data quality availability collaborating application teams install operating system hadoop updates patches version upgrades required point contact escalation
8330,Systems Engineer,"Active Directory,Cloud Computing,Data Center,Disaster Recovery,Integration,Java,Linux,Management,Project Management,Security,Servers,Software Development,SQL",maintain support windows server 2008 2012 2016 environment configure manage support vmware vsphere esxi 5 5 6 0 6 5 6 7 manage maintain hyper v infrastructure implement configure manage support windows based infrastructure production
8334,Senior Software Engineer,".NET,Agile Methodologies,Algorithms,C,C#,C++,Cloud Computing,Distributed Systems,Java,JavaScript,Microsoft SQL Server,Object Oriented Design,Python",require senior software engineer senior dot net developer client singapore requirement detail position senior software engineer senior dot net developer location singapore position 1 type position initial 12 months extensions start date asap required skills experience degree information technology minimum 7 9 years experience information technology experienced asp net development c 5 years min familiarity ease work layers ui layer controls bootstrap templates jquery middle layer linq sql migration entity framework performance tuning optimization asp net code backend sql stored query optimization unit tests ms tests development code coverage aws deployment use aws services ec2 rds lambda ses ability write maintain reusable libraries experience popular web application frameworks translate application storyboards use cases functional applications guide mentor developers development familiar aws stack good mandatory knowledge git good mandatory job description dot net developers based singapore one experienced serve lead developer person able work team guide technically looking good experienced candidate dot net developer responsible building enhancing existing asp net application c across whole stack front end controls bootstrap jquery business logic layer linq sql entity framework back end sql stored sql server 2017 commitment collaborative problem solving sophisticated design quality product essential
8336,UAT Tester,"Agile Methodologies,Electronics,Engineering,Java,Linux,Manual Testing,Matlab,Quality Assurance,Quality Center,Regression Testing,Requirements Analysis,SQL,System Testing",uat responsible managing user acceptance testing releases new projects developing test cases users employees product managers teams
8337,Software Engineer,"Agile Methodologies,Algorithms,C,C++,Cloud Computing,Distributed Systems,Eclipse,Java,Java Enterprise Edition,JavaScript,Linux,Object Oriented Design,Python",develop system modules crm implementation using asp net based client requirements conceptualise design develop customised modules scratch work together lead engineer resolve complex technical issues respond positively change requirements drive continual improvement support practices take ownership drive effective closure complex escalated technical issues provide support development projects throughout project life cycle document troubleshooting methodology resolution steps ensure codes compliance standards participate system testing manage uat perform ad hoc tasks assigned superior
8339,SAP PP / QM Consultant,"Analysis,Business Analysis,Business Development,Business Strategy,Change Management,Entrepreneurship,Integration,Leadership,Management,Management Consulting,Marketing,Marketing Strategy,Program Management",sap pp qm consultant required join sap rollout project japan singapore successful candidate 8 years experience end end sap pp qm implementations least 2 3 rollouts japan belt since successful candidate communicating local japanese business users japanese language skills preferred
8341,SAP FICO Consultant,"Analysis,Business Analysis,Business Development,Business Strategy,Change Management,Entrepreneurship,Integration,Leadership,Management,Management Consulting,Marketing,Marketing Strategy,Program Management",sap fico consultant required join sap rollout project japan singapore successful candidate 8 years experience end end sap fico implementations least 2 3 rollouts japan belt since successful candidate communicating local japanese business users japanese language skills preferred
8343,SOFTWARE ARCHITECT,"Analysis,Business Analysis,Business Development,Business Strategy,Change Management,Entrepreneurship,Integration,Leadership,Management,Management Consulting,Marketing,Marketing Strategy,Program Management",ability translate requirement architect design review engineers output design coding experience design solution interact customers must able explain solutions customers working soc linux c c experience knowledge remote services network connection http carrier provisioning knowledge
8349,Cloud Native Engineer (Contract),"Business Analysis,Business Process Improvement,Change Management,Cloud Computing,Data Center,Disaster Recovery,Enterprise Architecture,Information Technology,Integration,IT Management,IT Operations,IT Service Management,IT Strategy",technology group key enabler keep business moving forward constantly state art information technologies enhance gic ability leading global long term investment firm aim provide users empowering transformational capabilities create inclusive innovative integrated work environment cloud native engineering focused development platform services self service tools architecture guidelines automated processes enable teams adopt cloud native practices project implementation looking cloud native engineer cloud native first program one core pillars future roadmap role span across gic enterprise opportunity influence senior level role based 2 year contract responsibilities participate evaluation implementation enterprise container management platform together project members infrastructure security functional areas well application teams evaluate implement integrate service capabilities develop initial set container based development deployment process code analysis automated testing security scanning auto deployment etc develop reusable assets charts reusable base classes common microservices functionalities help teams build microservices cloud native applications refactoring building new capabilities existing system building new bespoke applications via project attachment consulting explore build ecosystem container management platform various paas iaas aws azure help teams devops transformation
8365,Security Engineer,"Cisco Technologies,CISSP,Cloud Computing,Computer Security,Data Center,Firewalls,Information Security,Information Security Management,Integration,Linux,Network Security,Networking,Penetration Testing",implementation delivery enterprise security solution projects ensure solutions deployed quality based best practices operating business results required customer fine tuning troubleshooting achieve optimal performance integrating enterprise security solutions network devices operating systems security devices applications provide knowledge transfer customers
8367,"Engineer, Software (Back End Software Engineer)","Agile Methodologies,C,C#,C++,CSS,Eclipse,Git,HTML,Java,JavaScript,jQuery,Linux,MySQL",back end software engineer singapore singapore full time position working site offices singapore overview booking holdings company world leading provider brands help people book great experiences technology booking holdings company part largest online travel company world technology heart short chain command start capital make things happen love innovation putting new technologies work extend lead competition working one largest international internet employers headquartered asia work impact around globe move fast wait ages see ideas go live work tough challenges safe knowledge surrounded people smart smarter help solve subject people come countries incredible technical creative getting touch top notch developer extensive knowledge scala java strong background design implementation scalable architecture good understanding algorithms data structures design patterns hungry learn new tools languages technologies responsibilities platform team looking developers work mission critical systems deals designing development system serves millions users day
8368,Senior Database Consultant - Big Data Engineer,"Access,Business Analysis,Business Intelligence,Data Analysis,Database Design,Databases,HTML,Integration,Management,Microsoft Excel,Microsoft SQL Server,Process Improvement,Program Management",profile role project thrive challenge last time failed curious always learning right deal constant change last surprised mastered least one skill trade defined teach us wear many hats devops architect install maintain support premises cloud infrastructure apply devops practices solutions person also implement cloud related devops technologies aws puppet chef elk azure openstack infrastructure related activities maintaining company internal server infrastructure respond consultant requests required expected install maintain support premises premises cloud stack configure maintain support cloud related infrastructures act system administrator different e g rhel ubuntu etc help teams deploy application automate development releases cloud ability develop solutions self learn new tools technologies document share knowledge developed devops solutions still unix linux bash knowledge good understanding cloud computing e g technologies deployment costing ha dr etc good understanding devops principles e g testing automation bdd tdd release automation ci cd etc 2 years experience cloud deployment e g openstack vmware aws azure terraform etc 1 year experience testing automation e g maven selenium hp qc loadrunner 1 year experience release automation process e g ca ra jenkins etc 1 year experience configuration management e g ansible puppet chef etc 1 year experience monitoring tools e g elk prometheus grafana splunk experience developing implementing processes handle releases development operations respecting internal rules offering solutions rollback experience designing architecture implement development production workflows knowledge sre containers kubernetes openshift plus good understanding microservice architecture devops practices support strong nosql skill deploying fine tuning mysql oracle elasticsearch role palo invited take part r works done within practices chance assist speaker must attend international conferences opportunity write articles blog specialized press genuine ambassador palo present offers take active role development company technical environment cloud devops based technologies aws puppet chef elk azure devops practices linux os shell scripting sql agile scrum environment
8371,Customer Service Representative (Call Centre),"Account Management,Customer Satisfaction,Customer Service,Event Planning,Leadership,Management,Marketing,Microsoft Excel,Microsoft Office,Microsoft Word,Outlook,PowerPoint,Public Speaking",provide product support phone draft professional email respond back customers
8376,Senior QA Engineer,"Agile Methodologies,Java,JavaScript,JIRA,Linux,Manual Testing,MySQL,Quality Assurance,Regression Testing,Scrum,SDLC,Software Development,Software Quality Assurance",taiger headquartered singapore taiger fast growing artificial intelligence ai company global footprint mission help organizations optimize operational efficiencies automating complex cognitive tasks market leader pioneer knowledge work automationtm solutions provide use natural language processing nlp computer vision techniques e g semantic analysis concept extraction multi language knowledge graphs object detection provide unparalleled accuracy information extraction industry leaders across financial services government sectors taiger recognized gartner cool vendor find us www taiger com www linkedin com company taiger senior software qa engineer looking experienced leader passionate potential taiger genuinely excited prospect building new functions leading passionate team high performers taiger scale motivated proposition contributions real impact taiger growth responsibilities develop suites units integration functional usability test perform specialized qa accuracy testing precision recall measure software products related ai nlp semantic technology plan execute security tests performance tests document test results produce reports track bug resolutions within development teams follow agile practices build test software products ensure technical quality best practices tdd code review ci analyse user requirements enhancement requests coordinating liasing software development teams project related items support smooth roll initiative pre post implementation activities work autonomous cross functional squads taking ownership qa activities knowledge sharing
8385,Senior Software Engineer,".NET,Agile Methodologies,Algorithms,C,C#,C++,Distributed Systems,Java,Linux,Python,Scalability,Scrum,Software Design",taiger seeks software engineers join engineering team help us design implement highly performing software successful candidates proven track record developing software web hold bsc msc phd computer science engineering related field software engineer taiger contribute development innovative products based state art technologies able make significant impact industry genuinely excited unstructured fast moving startup environment contribution matters building culture team generally excited technology building problems 're solving joining growing team responsibilities real potential expand scale scope compelling proposition responsibilities build products solutions based state art ai technology apply research fields nlp machine learning create innovative products develop algorithms data models implement new functionalities design architecture behaviour software modules follow agile practices perform analysis estimation implementation testing deployment applications work autonomous cross functional squads taking ownership development activities sharing knowledge across peers ensure technical quality best practices tdd code review ci bring ideas table improve technology product work engineering product delivery teams involved key decisions take leadership driving projects product features mentor guide junior developers provide technical expertise required
8386,Cyber Security Specialist,"Cisco Technologies,CISSP,Cloud Computing,Computer Security,Data Center,Firewalls,Information Security,Information Security Management,Integration,Linux,Network Security,Networking,Penetration Testing",taiger headquartered singapore taiger fast growing artificial intelligence ai company global footprint mission help organizations optimize operational efficiencies automating complex cognitive tasks market leader pioneer knowledge work automationtm solutions provide use natural language processing nlp computer vision techniques e g semantic analysis concept extraction multi language knowledge graphs object detection provide unparalleled accuracy information extraction industry leaders across financial services government sectors taiger recognized gartner cool vendor find us www taiger com www linkedin com company taiger cyber security specialist building team passionate cutting edge ai technology potential taiger motivated growth opportunities responsibilities expanding scope also look forward part dynamic start environment contribution matters responsibilities oversee develop security policies processes implementing security trends knowledge latest security threats vulnerabilities review existing cyber information security policies processes procedures documentation protect systems control structures defined access privileges line industry practices analyze monitor troubleshoot network traffic log files security alerts detect investigate security related anomalies making necessary recommendations minimize risks respond investigate escalate security incidents timely manner working closely stakeholders ensure rapid response incidents conduct lead compliance activities including periodic audits disaster recovery plans system penetration tests system vulnerability assessments utilize knowledge industry standards cyber security policies develop implement cyber security policies framework taiger
8388,Corporate Operations Engineer - Singapore,"Apache,Cloud Computing,Completions,Data Center,Drilling,Energy,Engineering,Gas,Integration,Linux,Management,MySQL,Oil/Gas",role corporate operations engineer go person googlers ' computer hardware software needs providing front line user support google 's internal tools technologies troubleshoot respond inquiries find solutions technical challenges beyond day day improve user experience contributing longer term projects documentation efforts use technical skills problem solve multiple operating systems e g os x linux windows range devices including desktops laptops phone systems video conferencing various wireless devices occasionally partner various teams including security networking infrastructure area behind everything users see online architecture built technical infrastructure team keep running developing maintaining data centers building next generation google platforms make google 's product portfolio possible 're proud engineers ' engineers love taking things apart 're always call keep networks running ensuring users best fastest experience possible responsibilities provide direct support linux mac windows desktops laptops user access corporate network applications network well remote vpn access provide direct support services office phones video conferencing remote access provide direct support google office
8392,Professional Software Engineer (Java Developer),"Agile Methodologies,C#,C++,HTML,Integration,Java,JavaScript,jQuery,Linux,MySQL,PHP,Project Management,Scrum",professional software engineer work highly skilled experienced engineers work measured highest standards projects work solve customers problems deliver added value defines software solutions main task professional software engineer analyse understand customer project requirements develop new solution features according defined roadmap timely manner part project teams typically 5 20 members different locations analyzing functional technical solution requirements participate writing functional technical solution specifications solution components developing new solution features according defined roadmap timely manner meeting highest quality performance standards maintaining applications performing code application upgrades chance involved multiple stages project thus enjoying exposure various aspects software engineering foster career growth get great opportunities learn job expand field consulting area system application security
8400,Senior Sofware Engineer (Multistack),"Cisco Technologies,CISSP,Cloud Computing,Computer Security,Data Center,Firewalls,Information Security,Information Security Management,Integration,Linux,Network Security,Networking,Penetration Testing",senior software engineer organisation work highly skilled experienced engineers work measured highest standards projects work solve customers problems deliver added value defines software solutions main task senior software engineer design develop new solution features according requirements along defined roadmap timely manner responsibilities duties senior software engineer part project teams typically 5 20 members different locations analyzing functional technical solution requirements participating writing functional technical solution specifications designing developing new solution features according defined roadmap timely manner meeting highest quality performance standards maintaining applications performing code application upgrades chance involved multiple stages project thus enjoying exposure various aspects software engineering foster career growth also get great opportunities learn job expand field consulting area system application security
